start;end;corpus;sent_id;left;node;right;node_sentences;pref;suff;morphind;root;root_pos;affix;schema;clause_type;subordinate_clause_type;frame;syntactic_transitivity;dobj_syntax;dobj_role;dobj_animacy;dobj_concreteness;recipient_animacy;recipient_pronominality;recipient_syntax;agent_encoded;theme_encoded;recipient_encoded;notes;agent_pronominality;agent_animacy
34;45;ind_web_2012_1M;361266;Bisa membelikan blackforest, bisa;membelikan;aku gamis saat aku hamil begini, bisa mengajakku menginap di sebuah resort di malam dan hari ulang tahunku.;Bisa membelikan blackforest, bisa<m>membelikan</m>aku gamis saat aku hamil begini, bisa mengajakku menginap di sebuah resort di malam dan hari ulang tahunku.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;recipient_obj_cxn;main;;;ditransitive;pronoun;recipient;animate;concrete;animate;pronoun;DO;FALSE;TRUE;TRUE;;;
26;37;ind_newscrawl_2011_1M;730442;Orangtua Linda belum bisa;membelikan;Alquran karena untuk memenuhi kebutuhan sehari-hari saja terkadang kurang.;Orangtua Linda belum bisa<m>membelikan</m>Alquran karena untuk memenuhi kebutuhan sehari-hari saja terkadang kurang.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;;animate;proper-name;SUBJ_POSSESSOR;TRUE;TRUE;TRUE;Linda;;
49;60;ind_newscrawl_2012_1M;855345;Namun karena ia harus mendapatkan uang agar bisa;membelikan;anak-anaknya baju buat lebaran, ia tetap memutuskan pergi bekerja sebagai sopir disebuah perusahaan ekspedisi.;Namun karena ia harus mendapatkan uang agar bisa<m>membelikan</m>anak-anaknya baju buat lebaran, ia tetap memutuskan pergi bekerja sebagai sopir disebuah perusahaan ekspedisi.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;recipient_obj_cxn;subordinate;adverbial;;ditransitive;np;recipient;animate;;animate;np;DO;TRUE;TRUE;TRUE;;;
173;184;ind_web_2012_1M;620697;Dengan perasaan gembira, Malek mengajak Badrul (Roy Azman) satu-satunya kawan yang paling baik, yang selalu dicurahkan masalahnya, menemaninya pergi ke bazar ramadhan untuk;membelikan;anak-anaknya juadah yang menjadi idaman mereka.;Dengan perasaan gembira, Malek mengajak Badrul (Roy Azman) satu-satunya kawan yang paling baik, yang selalu dicurahkan masalahnya, menemaninya pergi ke bazar ramadhan untuk<m>membelikan</m>anak-anaknya juadah yang menjadi idaman mereka.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;recipient_obj_cxn;subordinate;adverbial;;ditransitive;np;recipient;animate;;animate;np;DO;TRUE;TRUE;TRUE;;;
85;96;ind_newscrawl_2011_1M;586722;Mercedes Luncurkan Sekolah Mengemudi Remaja SEPERTINYA tidak ada orang tua yang akan;membelikan;anaknya mobi Mercedes-Benz sebagai mobil pertamanya, setidaknya bukan yang baru.;Mercedes Luncurkan Sekolah Mengemudi Remaja SEPERTINYA tidak ada orang tua yang akan<m>membelikan</m>anaknya mobi Mercedes-Benz sebagai mobil pertamanya, setidaknya bukan yang baru.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;recipient_obj_cxn;subordinate;relative_clause;;ditransitive;np;recipient;animate;;animate;np;DO;;TRUE;TRUE;;;
82;93;ind_newscrawl_2016_1M;672983;Perempuan yang sehari-hari berjualan ikan itu diduga depresi lantaran tak sanggup;membelikan;anaknya sepeda motor Kawasaki KLX.;Perempuan yang sehari-hari berjualan ikan itu diduga depresi lantaran tak sanggup<m>membelikan</m>anaknya sepeda motor Kawasaki KLX.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;recipient_obj_cxn;subordinate;adverbial;;ditransitive;np;recipient;animate;;animate;np;DO;;TRUE;TRUE;;;
38;49;ind_newscrawl_2016_1M;553128;Mereka tidak berpikir panjang sebelum;membelikan;anaknya sepeda motor.;Mereka tidak berpikir panjang sebelum<m>membelikan</m>anaknya sepeda motor.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;recipient_obj_cxn;subordinate;adverbial;;ditransitive;np;recipient;animate;;animate;np;DO;;TRUE;TRUE;;;
53;64;ind_news_2011_300K;138317;"Seringkali orangtua silau oleh keyakinan, ""Saya akan";membelikan;"apa yang engkau minta karena kami mencintaimu"".";"Seringkali orangtua silau oleh keyakinan, ""Saya akan<m>membelikan</m>apa yang engkau minta karena kami mencintaimu"".";me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;main;;;monotransitive;pronoun;theme;inanimate;;animate;personal-pronoun;SUBJ_REL;;;TRUE;engkau;;
46;57;ind_web_2012_1M;546430;Saat hidup kita miskin, kita memang tak mampu;membelikan;apa-apa untuk anak-anak.;Saat hidup kita miskin, kita memang tak mampu<m>membelikan</m>apa-apa untuk anak-anak.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;main;;;monotransitive;pronoun;theme;inanimate;;animate;np;PP_untuk;;;TRUE;anak-anak;;
107;118;ind_news_2012_300K;93569;Zhang Jiayang (23) yang tinggal di Shanghai sebagaimana dikutip harian China Daily mengatakan orang tuanya;membelikan;apartemen bagi dia karena berencana menikah pada 2012.;Zhang Jiayang (23) yang tinggal di Shanghai sebagaimana dikutip harian China Daily mengatakan orang tuanya<m>membelikan</m>apartemen bagi dia karena berencana menikah pada 2012.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;;animate;personal-pronoun;PP_bagi;;;TRUE;dia;;
34;45;ind_newscrawl_2016_1M;572818;Mungkin karena itu saya bawaannya;membelikan;baju-baju laki-laki,’’ kenang Sudi.;Mungkin karena itu saya bawaannya<m>membelikan</m>baju-baju laki-laki,’’ kenang Sudi.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;;;;contextual;;;FALSE;;;
53;64;ind_web_2012_1M;201449;Oh mak jang,,, sampai kapan pun tak akan pernah saya;membelikan;barang itu untuknya.;Oh mak jang,,, sampai kapan pun tak akan pernah saya<m>membelikan</m>barang itu untuknya.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;;animate;personal-pronoun-suffix;PP_untuk;;;TRUE;-nya;;
100;111;ind_web_2012_1M;309384;Atau, Anda juga bisa memberikan si dia kejutan, misalnya dengan memasakkan makanan kesukaannya atau;membelikan;barang yang sudah ia idam-idamkan dalam beberapa lama.;Atau, Anda juga bisa memberikan si dia kejutan, misalnya dengan memasakkan makanan kesukaannya atau<m>membelikan</m>barang yang sudah ia idam-idamkan dalam beberapa lama.;me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;;animate;personal-pronoun;SUBJ_REL;;;TRUE;ia;;
116;127;ind-id_web_2013_1M;643585;"Para pria perlu menyadari untuk melihat pernikahan bukan sekedar sebagai ""the marriage thing,"" misalnya dengan cara";membelikan;"barang-barang untuk istri tapi meninggalkan istri ""di belakang.""";"Para pria perlu menyadari untuk melihat pernikahan bukan sekedar sebagai ""the marriage thing,"" misalnya dengan cara<m>membelikan</m>barang-barang untuk istri tapi meninggalkan istri ""di belakang.""";me-;kan;meN+beli<v>+kan_VSA;beli;v;me-/kan;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;;animate;np;PP_untuk;;;TRUE;istri;;
